customerId,RG_case,Missing_Daily_Transactions,CountryName,LanguageName,Gender,YearofBirth,age_at_registration,sum_stakes_fixedodds,sum_bets_fixedodds,bettingdays_fixedodds,duration_fixedodds,frequency_fixedodds,bets_per_day_fixedodds,euros_per_bet_fixedodds,net_loss_fixedodds,percent_lost_fixedodds,sum_stakes_liveaction,sum_bets_liveaction,bettingdays_liveaction,duration_liveaction,frequency_liveaction,bets_per_day_liveaction,euros_per_bet_liveaction,net_loss_liveaction,percent_lost_liveaction,sum_stakes_casino,sum_bets_casino,bettingdays_casino,duration_casino,frequency_casino,bets_per_day_casino,euros_per_bet_casino,net_loss_casino,percent_lost_casino,net_loss_fixedodds_nonzero,percent_lost_fixedodds_nonzero,net_loss_liveaction_nonzero,percent_lost_liveaction_nonzero,net_loss_casino_nonzero,percent_lost_casino_nonzero,sum_stakes_fixedodds_sqrt,sum_bets_fixedodds_sqrt,bettingdays_fixedodds_sqrt,duration_fixedodds_sqrt,frequency_fixedodds_sqrt,bets_per_day_fixedodds_sqrt,euros_per_bet_fixedodds_sqrt,net_loss_fixedodds_nonzero_sqrt,percent_lost_fixedodds_nonzero_sqrt,sum_stakes_liveaction_sqrt,sum_bets_liveaction_sqrt,bettingdays_liveaction_sqrt,duration_liveaction_sqrt,frequency_liveaction_sqrt,bets_per_day_liveaction_sqrt,euros_per_bet_liveaction_sqrt,net_loss_liveaction_nonzero_sqrt,percent_lost_liveaction_nonzero_sqrt,sum_stakes_casino_sqrt,sum_bets_casino_sqrt,bettingdays_casino_sqrt,duration_casino_sqrt,frequency_casino_sqrt,bets_per_day_casino_sqrt,euros_per_bet_casino_sqrt,net_loss_casino_nonzero_sqrt,percent_lost_casino_nonzero_sqrt,sum_stakes_fixedodds_sqrt_zeros,sum_bets_fixedodds_sqrt_zeros,bettingdays_fixedodds_sqrt_zeros,duration_fixedodds_sqrt_zeros,frequency_fixedodds_sqrt_zeros,bets_per_day_fixedodds_sqrt_zeros,euros_per_bet_fixedodds_sqrt_zeros,net_loss_fixedodds_sqrt_zeros,percent_lost_fixedodds_sqrt_zeros,sum_stakes_liveaction_sqrt_zeros,sum_bets_liveaction_sqrt_zeros,bettingdays_liveaction_sqrt_zeros,duration_liveaction_sqrt_zeros,frequency_liveaction_sqrt_zeros,bets_per_day_liveaction_sqrt_zeros,euros_per_bet_liveaction_sqrt_zeros,net_loss_liveaction_sqrt_zeros,percent_lost_liveaction_sqrt_zeros,sum_stakes_casino_sqrt_zeros,sum_bets_casino_sqrt_zeros,bettingdays_casino_sqrt_zeros,duration_casino_sqrt_zeros,frequency_casino_sqrt_zeros,bets_per_day_casino_sqrt_zeros,euros_per_bet_casino_sqrt_zeros,net_loss_casino_sqrt_zeros,churn,DaysLastOrder
4202311,0,0,Germany,German,F,1986,20,2223,171,19,25,1,9,13,205,0,16555,549,28,31,1,20,30,-6,0,33423,13,22057,8,47,13,4,5,1,3,4,183,4,129,23,5,6,1,4,5,149,3,47,13,4,5,1,3,4,183,4,129,23,5,6,1,4,5,149,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,FALSE,2
2179252,1,0,Slovakia,Slovak,M,1982,23,917,161,67,1321,0,2,6,469,1,2400,475,73,1411,0,7,5,301,0,33687,14,22364,8,30,13,8,36,0,2,2,184,4,49,22,9,38,0,3,2,150,3,30,13,8,36,0,2,2,184,4,49,22,9,38,0,3,2,150,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,FALSE,2
1691317,1,0,Germany,German,M,1974,31,1576,85,68,1885,0,1,19,236,0,43599,3473,757,1816,0,5,13,5543,0,33454,13,27606,8,40,9,8,43,0,1,4,183,4,209,59,28,43,1,2,4,166,3,40,9,8,43,0,1,4,183,4,209,59,28,43,1,2,4,166,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,FALSE,2
3575629,0,0,France_COM,French,M,1971,35,337,332,45,267,0,7,1,-12,0,1,1,1,1,1,1,1,-1,-1,33206,13,22062,7,18,18,7,16,0,3,1,182,4,1,1,1,1,1,1,1,149,3,18,18,7,16,0,3,1,182,4,1,1,1,1,1,1,1,149,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,FALSE,2
4212062,0,0,Greece_BAW,Greek,M,1951,56,13629,9873,199,1378,0,50,1,3307,0,521,145,62,1330,0,2,4,286,1,360623,29008,171,1337,0,170,12,13754,0,37,13,22349,9,49606,7,117,99,14,37,0,7,1,191,4,23,12,8,36,0,2,2,149,3,601,170,13,37,0,13,4,223,3,117,99,14,37,0,7,1,191,4,23,12,8,36,0,2,2,149,3,601,170,13,37,0,13,4,223,FALSE,2
3799977,0,0,Russian,Federation,M,1970,35,38807,4919,75,253,0,66,8,-2779,0,30439,13,197,70,9,16,1,8,3,174,4,197,70,9,16,1,8,3,174,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
3842441,1,0,Germany,German,M,1988,18,1392,128,51,716,0,3,11,184,0,814,111,36,731,0,3,7,37,0,92414,3450,50,739,0,69,27,1,0,33,13,22,8,37269,7,37,11,7,27,0,2,3,183,4,29,11,6,27,0,2,3,149,3,304,59,7,27,0,8,5,193,3,37,11,7,27,0,2,3,183,4,29,11,6,27,0,2,3,149,3,304,59,7,27,0,8,5,193,FALSE,1
3068010,1,0,Portugal,Portuguese,M,1981,24,2955,369,105,1238,0,4,8,-36,0,2803,191,72,1265,0,3,15,263,0,32499,9924,67,937,0,148,3,1321,0,33,13,22,8,37173,7,54,19,10,35,0,2,3,182,4,53,14,8,36,0,2,4,149,3,180,100,8,31,0,12,2,193,3,54,19,10,35,0,2,3,182,4,53,14,8,36,0,2,4,149,3,180,100,8,31,0,12,2,193,FALSE,1
1387925,0,0,Germany,German,M,1980,24,2019,114,51,1960,0,2,18,251,0,10508,562,129,1960,0,4,19,774,0,33469,13,22837,8,45,11,7,44,0,1,4,183,4,103,24,11,44,0,2,4,151,3,45,11,7,44,0,1,4,183,4,103,24,11,44,0,2,4,151,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,FALSE,1
637178,0,0,Germany,German,M,1980,22,2380,1178,348,2669,0,3,2,686,0,143,56,20,2599,0,3,3,88,1,2,1,1,1,1,1,2,-2,-1,33904,13,22151,9,35850,6,49,34,19,52,0,2,1,184,4,12,7,4,51,0,2,2,149,3,1,1,1,1,1,1,1,189,2,49,34,19,52,0,2,1,184,4,12,7,4,51,0,2,2,149,3,1,1,1,1,1,1,1,189,FALSE,1
